,0
0,Meta rolls out internal AI tool as it pushes into business market
1,Polish billionaire seeks support for ‘deepfake’ scams lawsuit against Meta
2,Meta’s Zuckerberg seeks ‘active role’ in Trump tech policies
3,Meta loses ground to Bluesky as users abandon Elon Musk’s X 
4,Meta fined nearly €800mn for breaking EU law over classified ads practices
5,How weight loss drugs took over Instagram
6,Meta’s plan for nuclear-powered AI data centre thwarted by rare bees
7,Wall Street frets over Big Tech’s $200bn AI spending splurge
8,Silicon Valley super-spenders leave too much in the cloud Premium content
9,EssilorLuxottica bets on glasses replacing smartphones as value hits €100bn 
10,Meta sees AI spending accelerating as earnings top forecasts
11,Meta and Microsoft pass their quarterly sanity-check Premium content
12,Evan Spiegel battles to revive Snap’s fortunes
13,Meet Joelle Pineau: shaping AI as the world grapples with its potential
14,Meta under fire for ‘polluting’ open-source
15,Meta fires staff for abusing $25 meal credits
16,Meta debuts AI filmmaker in challenge to OpenAI’s Sora
17,Can Zuckerberg rise above the US political fray?
18,Revolut urges Meta to share cost of reimbursing fraud victims
19,Is nuclear energy the zero-carbon answer to powering AI?
20,Meta expands data accord with UK banks in push to cut online fraud 
21,Alice Newton-Rex: ‘WhatsApp makes people feel confident to be themselves’
22,Meta unveils augmented reality glasses prototype ‘Orion’ 
23,Meta faces hefty EU antitrust fine over classified ads practices
24,Instagram to make teenagers’ profiles private by default
